type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,68:FE:71:12:53:8C,-39,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,7221816,0,84,0,0,7.2218,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -14 -5 -19 -5 -15 -10 -20 -8 -15 -4 -20 -7 -13 -5 -12 -5 -12 -12 -15 -8 -15 -8 -16 -7 -14 -6 -14 -8 -12 -10 -11 -11 -13 -11 -14 -9 -11 -14 -11 -10 -9 -14 -9 -13 -15 -6 -10 -10 -16 -10 -12 -10 -1 -2 -12 -8 -12 -9 -15 -12 -9 -8 -11 -5 -8 -7 -14 -7 -11 -3 -14 -8 -9 -9 -16 -4 -9 -2 -14 -7 -13 -2 -17 -2 -13 -7 -10 -7 -18 -6 -17 -2 -13 -2 -18 -8 -17 0 -17 0 -19 -7 -11 -4 -13 0 -4 -3 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-39,11,1,6,1,1,1,0,0,0,0,-95,0,6,1,7327676,0,84,0,0,7.3277,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -6 19 -5 23 -4 22 -5 18 -9 19 -11 20 -4 15 -9 14 -9 13 -6 17 -14 12 -8 20 -14 19 -10 14 -12 11 -7 13 -11 19 -12 16 -12 19 -7 13 -8 15 -9 15 -9 13 -11 12 -8 16 -5 12 2 -3 -10 12 -10 15 -6 13 -3 10 -3 11 -10 14 -8 18 -2 13 -5 14 -4 16 -8 17 -5 11 0 16 0 15 -4 18 -3 17 -6 18 1 11 2 13 -2 17 2 11 3 14 2 15 -5 14 -5 15 -2 13 1 4 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-39,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,7442952,0,82,0,0,7.443,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -4 -22 -4 -21 0 -15 -2 -16 -5 -17 -4 -22 -2 -16 3 -17 -2 -17 3 -15 0 -20 -2 -18 -1 -14 1 -16 -2 -20 1 -13 -1 -12 4 -20 5 -12 -3 -13 -3 -13 1 -18 -1 -14 4 -13 4 -15 0 -14 -2 -3 -1 -14 -1 -19 -4 -14 3 -15 3 -12 -2 -16 -4 -15 2 -16 -5 -15 -4 -17 -4 -19 -3 -13 -7 -15 -3 -15 -6 -16 -3 -10 -2 -16 -3 -18 -6 -17 -6 -17 -5 -17 -2 -15 -8 -18 -10 -11 -2 -14 -9 -17 3 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-40,11,1,4,1,1,1,0,0,0,0,-94,0,6,1,7531535,0,84,0,0,7.5315,384,[84 -64 4 0 0 0 0 0 0 0 0 0 16 7 16 10 13 12 14 12 19 15 11 15 14 13 17 12 14 16 16 17 13 10 16 17 12 13 14 10 13 17 14 10 12 13 8 15 13 11 10 15 14 13 7 9 9 14 14 10 10 14 13 9 -3 -3 13 15 7 10 7 11 15 10 8 14 13 12 8 5 8 12 12 6 14 11 12 7 13 6 13 12 13 8 10 7 13 9 13 9 14 11 17 3 10 4 17 4 9 3 13 8 12 3 17 10 18 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-36,11,1,6,1,1,1,0,0,0,1,-93,0,6,1,7632946,0,84,0,0,7.6329,384,[37 80 2 0 0 0 0 0 0 0 0 0 15 20 14 24 18 29 19 30 18 22 16 27 14 26 11 26 8 27 12 25 15 26 12 26 13 24 7 27 6 23 11 26 5 22 11 19 12 24 9 22 9 20 5 21 6 22 10 19 12 24 10 26 -2 2 12 19 10 22 7 19 10 21 9 21 15 17 14 21 11 15 16 16 16 16 11 17 14 15 9 16 16 19 14 20 12 18 19 17 13 21 10 17 13 18 16 21 19 14 16 19 21 14 16 17 18 16 -4 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-38,11,1,5,1,1,1,0,0,0,0,-93,0,6,1,7698789,0,84,0,0,7.6988,384,[84 -64 4 0 0 0 0 0 0 0 0 0 13 14 10 14 12 15 7 15 11 18 5 14 8 12 5 15 8 19 7 19 9 17 10 18 6 13 4 17 10 15 3 17 9 19 4 17 9 12 2 12 2 14 2 14 6 14 3 13 10 11 9 10 4 2 8 17 11 10 6 13 11 11 8 14 4 16 4 16 11 15 4 12 6 15 5 9 8 12 10 12 13 12 11 9 6 15 6 9 13 14 6 11 9 8 12 13 8 6 9 7 12 11 10 8 13 10 -2 1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-38,11,1,6,1,1,1,0,0,0,0,-94,0,6,1,7780725,0,84,0,0,7.7807,384,[84 -64 4 0 0 0 0 0 0 0 0 0 11 16 8 14 6 12 9 12 14 19 12 14 6 19 8 11 7 11 3 12 9 13 2 18 7 13 5 12 1 11 3 13 3 17 4 14 6 18 8 16 7 10 2 13 4 11 6 12 2 10 4 11 1 1 7 10 10 13 4 10 5 10 11 9 11 10 7 11 10 9 5 13 9 15 9 9 7 13 7 6 11 14 7 7 13 11 9 7 14 13 11 6 7 11 14 14 6 9 10 8 7 5 11 10 11 7 0 -2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-35,11,1,6,1,1,1,1,0,0,0,-94,3,6,1,7853232,0,84,0,0,7.8532,384,[84 -64 4 0 0 0 0 0 0 0 0 0 8 -17 7 -18 9 -17 4 -21 8 -22 4 -22 5 -19 12 -21 9 -15 12 -22 7 -16 6 -18 7 -20 11 -16 10 -20 11 -15 14 -13 8 -12 8 -12 9 -10 9 -18 12 -11 9 -13 10 -16 12 -16 7 -16 4 2 6 -11 12 -11 8 -11 6 -18 5 -17 4 -13 9 -17 3 -16 6 -10 7 -13 9 -15 2 -18 2 -17 9 -19 2 -17 5 -12 4 -16 7 -18 7 -15 4 -15 7 -17 7 -20 0 -21 6 -14 7 -17 0 -20 1 -2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-40,11,1,6,1,1,1,0,0,0,0,-95,0,6,1,7960250,0,84,0,0,7.9603,384,[84 -64 4 0 0 0 0 0 0 0 0 0 15 -2 22 -5 16 -6 22 0 22 -4 20 -4 19 -3 23 -2 21 2 21 -4 23 -4 20 4 22 0 16 5 15 2 17 -1 17 1 15 -2 20 4 17 -2 21 -3 21 -3 20 1 16 3 16 4 19 4 -1 3 20 0 13 0 17 -2 11 -4 17 -1 11 -1 12 1 17 0 18 0 15 -1 14 -1 18 1 11 -4 18 -6 11 1 17 -4 11 -1 12 -1 16 -8 18 -6 15 -3 18 -9 15 -1 13 -8 17 -8 11 -5 1 -4 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-39,11,1,4,1,1,1,0,0,0,1,-93,0,6,1,8061072,0,84,0,0,8.0611,384,[84 -64 4 0 0 0 0 0 0 0 0 0 18 1 18 0 13 2 16 9 11 5 17 5 14 6 12 12 11 10 15 4 12 7 11 8 13 9 13 10 11 13 14 8 8 9 7 5 12 5 10 7 10 4 8 6 6 5 11 5 12 4 9 6 2 -3 7 6 12 7 10 4 8 3 10 7 9 6 7 9 15 2 12 9 7 9 7 6 10 3 8 4 10 7 15 2 16 8 12 2 15 2 13 0 16 7 10 5 16 6 13 3 16 1 14 3 15 5 4 2 0 0 0 0 0 0 0 0 ]
