type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,68:FE:71:12:53:8C,-38,11,1,5,1,1,1,1,0,0,0,-96,4,6,1,6818510,0,84,0,0,6.8185,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -11 -2 -10 -6 -20 -9 -27 -7 -20 -19 -13 -14 -19 -9 -15 0 -27 -20 -18 -14 -12 -2 -21 1 -20 -19 -3 -8 -3 -10 -16 -12 -9 -22 -7 -14 -13 -5 -17 -20 -14 -18 -2 -17 0 -2 -18 -4 -6 -20 -15 -5 12 3 -19 3 -24 -12 -10 2 -14 -14 -20 0 -2 -16 -5 -1 -18 -15 -24 -7 -16 -10 -1 -13 -4 -13 -13 -14 -1 -9 -10 -12 -25 2 -15 -13 -17 -2 -11 -7 -19 -4 -5 -15 -2 -9 -8 4 -27 -10 -9 2 -17 -4 -11 -4 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-39,11,1,4,1,1,1,1,0,0,0,-94,4,6,1,6896138,0,84,0,0,6.8961,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -7 12 8 21 -11 9 -10 24 -13 26 -2 30 9 25 -5 6 -11 10 -3 25 2 17 -14 7 4 15 -8 27 8 13 -12 6 -1 26 6 15 -2 18 9 17 0 27 9 6 9 8 1 18 -3 28 1 6 7 -7 -1 24 8 7 5 16 -6 13 3 19 8 17 -3 18 1 23 10 9 8 5 -6 4 -7 22 7 10 3 5 -5 14 4 8 -10 7 11 15 7 4 1 2 -4 22 -7 4 8 24 6 21 -2 24 13 9 -11 -6 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-35,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,6979806,0,84,0,0,6.9798,384,[84 -64 4 0 0 0 0 0 0 0 0 0 26 4 24 8 9 17 13 4 22 15 21 0 26 5 29 -2 12 21 15 12 28 2 7 -1 19 2 10 -2 4 18 19 -2 3 10 3 7 3 14 16 14 9 1 4 20 14 -3 7 21 7 -2 21 11 3 4 14 -4 8 8 13 0 11 3 4 16 3 2 4 -1 11 10 21 6 21 15 7 2 3 -4 21 17 9 3 8 7 21 -7 21 9 16 6 8 10 27 -2 14 -8 7 0 22 -1 19 11 14 -2 21 -8 -9 4 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-43,11,1,6,1,1,1,0,0,0,0,-94,0,6,1,7046577,0,84,0,0,7.0466,384,[84 -64 4 0 0 0 0 0 0 0 0 0 25 2 10 15 10 21 20 12 10 22 5 19 12 26 16 26 18 4 7 16 7 7 2 22 12 15 19 6 18 12 20 19 5 26 14 26 15 6 21 8 18 18 4 15 14 5 8 4 15 21 13 6 -5 -12 10 10 2 13 9 24 19 10 9 25 14 20 -2 23 23 14 15 3 14 14 23 10 9 6 8 16 11 8 15 0 15 22 23 16 9 1 18 14 20 14 7 14 25 20 9 -1 10 11 5 1 18 -2 7 2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-40,11,1,4,1,1,1,1,0,0,0,-95,5,6,1,7133376,0,84,0,0,7.1334,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -17 -13 -8 5 -26 -17 -21 -7 -7 -14 -23 -5 -22 -13 -14 -10 -26 -7 -18 -16 -17 -2 -9 1 -25 -22 -18 -13 -22 -19 -15 -10 -10 -11 -21 -5 -6 -19 -24 -4 -18 -2 -11 0 -17 -4 -20 -21 -24 -6 -19 -12 7 -10 -26 2 -25 -16 -26 -8 -6 1 -23 -3 -5 -9 -21 -6 -25 -6 -24 -7 -13 1 -26 0 -24 -11 -6 -7 -5 4 -11 -16 -17 -4 -24 6 -6 6 -11 7 -25 -14 -8 3 -8 -8 -13 0 -4 -4 -16 6 -24 -12 4 2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-44,11,1,4,1,1,1,0,0,0,0,-94,0,6,1,7203227,0,84,0,0,7.2032,384,[84 -64 4 0 0 0 0 0 0 0 0 0 8 -14 2 -9 16 -23 22 -23 12 -11 8 -10 13 -26 7 -23 1 -11 15 -11 25 -15 7 -16 9 -20 8 0 25 -20 14 -10 20 -6 6 2 14 -17 20 -2 11 -12 10 -18 8 -11 23 -2 24 2 9 -10 4 -12 3 -2 0 0 14 1 12 -8 19 -18 6 -4 7 -21 9 -1 2 -9 -3 -5 20 -19 6 -13 9 -11 11 -11 -1 -22 18 -13 9 -22 -3 -5 -4 -12 0 -23 13 -8 19 -21 6 -23 2 -16 0 -19 12 -10 -2 7 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-39,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,7267750,0,37,0,0,7.2678,128,[84 -64 4 0 0 0 0 0 0 0 0 0 48 7 49 16 32 -5 46 7 45 7 37 15 42 9 29 6 39 4 39 3 36 23 27 27 31 8 30 22 21 16 29 16 21 8 21 14 42 16 25 18 40 8 38 23 31 8 40 12 35 14 41 4 -8 -4 26 9 19 10 39 16 18 12 41 14 20 16 39 20 26 9 32 6 19 -4 42 -2 30 5 39 13 20 3 32 14 31 8 24 0 29 9 40 9 26 10 26 6 33 -8 36 3 42 12 22 11 33 5 -1 8 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-40,11,1,5,1,1,1,0,0,0,0,-95,0,6,1,7377983,0,84,0,0,7.378,384,[84 -64 4 0 0 0 0 0 0 0 0 0 3 33 -4 32 -5 48 -24 38 -24 48 -4 25 -7 43 -22 40 -23 33 -17 31 -29 34 -21 33 -27 36 -26 39 -20 33 -21 25 -9 33 -24 24 -31 36 -31 42 -27 34 -22 24 -21 35 -17 28 -20 26 -28 30 12 6 -22 33 -10 27 -15 33 -15 34 -21 40 -18 19 -16 30 -4 21 -19 37 -5 19 -8 37 -12 35 -8 21 -19 27 -4 20 -2 20 -20 41 4 35 -16 30 -3 22 1 21 0 42 -1 34 -17 45 -13 30 -13 23 0 3 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-36,11,1,5,1,1,1,0,0,0,0,-95,0,6,1,7419052,0,84,0,0,7.4191,384,[84 -64 4 0 0 0 0 0 0 0 0 0 1 -22 -1 -14 2 -23 -15 -26 -5 -21 -7 -13 -9 -11 9 -14 6 -11 9 -12 -8 -26 -8 -23 7 -15 -2 -18 -2 -23 9 -7 13 -22 11 -25 0 -21 10 -23 1 -12 -7 -30 3 -29 5 -27 2 -9 0 -5 -5 -1 -3 -21 8 -26 7 -6 -4 -22 9 -26 -10 -16 -5 -28 0 -14 4 -13 -3 -27 10 -21 3 -26 -8 -19 -10 -15 -9 -25 -12 -22 6 -24 -2 -23 2 -16 -1 -12 0 -24 3 -15 1 -26 -7 -5 -9 -25 -14 -6 10 7 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-39,11,1,4,1,1,1,0,0,0,0,-95,0,6,1,7474797,0,84,0,0,7.4748,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 8 4 15 3 15 -1 12 8 27 20 5 3 23 20 9 10 27 19 14 9 10 6 7 18 22 6 24 17 15 5 8 10 17 12 4 3 14 9 6 2 11 4 14 10 5 12 15 8 14 -5 17 9 -8 -4 16 15 18 -6 19 5 17 18 6 1 6 5 14 7 23 13 23 14 1 9 6 19 12 -3 21 6 9 -2 24 13 7 15 13 17 9 -1 18 13 18 17 10 1 3 17 21 16 4 19 16 21 18 11 1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-45,11,1,5,1,1,1,0,0,0,0,-95,0,6,1,7539773,0,84,0,0,7.5398,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -5 19 14 16 0 8 3 17 8 9 2 23 3 12 2 31 3 7 8 19 -8 31 8 32 -2 15 -3 9 2 28 -10 18 -4 13 -9 28 -8 11 6 22 3 16 -9 14 1 8 8 10 -7 8 -5 7 -11 0 11 13 -1 4 11 23 -7 12 5 10 4 8 6 4 11 9 7 14 -4 15 13 22 13 15 -7 13 -10 4 8 26 9 20 -3 9 4 4 7 7 -3 17 7 16 2 17 12 5 -5 26 11 24 13 15 -3 -10 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-41,11,1,4,1,1,1,0,0,0,0,-94,0,6,1,7619469,0,84,0,0,7.6195,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -9 -21 4 -23 -7 -20 12 -31 14 -26 4 -15 15 -24 0 -11 5 -17 18 -27 -1 -16 -5 -20 12 -21 19 -19 20 -21 17 -21 10 -11 8 -6 13 -8 -2 -22 5 -6 3 -11 2 -14 4 -28 3 -13 8 -6 -12 10 2 -17 12 -27 7 -26 -2 -17 -6 -20 -2 -12 12 -21 16 -15 0 -6 11 -16 -4 -7 4 -24 -3 -20 -8 -16 13 -17 -5 -25 3 -17 3 -7 5 -28 -8 -9 4 -9 -11 -8 1 -9 -10 -25 6 -11 -1 -18 2 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-41,11,1,5,1,1,1,0,0,0,0,-95,0,6,1,7686938,0,84,0,0,7.6869,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -22 20 -22 2 -10 8 -23 8 -18 25 -7 15 -1 24 -15 0 -15 2 -10 13 -19 5 -13 14 -23 18 -17 7 -4 16 -10 0 -23 12 -10 18 -24 21 -19 12 -11 2 -2 3 -11 13 -4 6 -21 4 -20 0 5 3 -1 2 -22 7 -6 3 -9 6 -10 20 -5 -1 -21 0 0 2 -15 9 -19 18 -19 18 -10 9 -2 0 -15 19 -9 17 -11 6 -4 23 -11 18 3 21 -14 23 -20 20 -11 24 -17 8 -17 13 -13 4 -18 11 -2 -3 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-36,11,1,5,1,1,1,1,0,0,0,-94,6,6,1,7771723,0,84,0,0,7.7717,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 8 -15 7 -18 0 -8 8 -28 19 -28 4 -8 15 -31 17 -7 2 -26 13 -9 7 -12 11 -14 -1 -24 4 -28 -3 -30 12 -20 -8 -28 8 -7 -2 -10 12 -10 9 -15 -10 -13 13 -22 -10 -26 10 -16 6 11 -2 -14 4 -11 10 -23 -5 -17 -4 -5 11 -23 9 -6 6 -27 -3 -3 1 -27 5 -16 -5 -13 -7 -17 3 -14 7 -19 7 -16 -3 -3 -5 -9 16 -12 19 -5 12 -3 9 -7 -2 -20 11 -22 8 -21 0 -14 4 -10 3 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-41,11,1,5,1,1,1,0,0,0,0,-93,0,6,1,7841913,0,84,0,0,7.8419,384,[84 -64 4 0 0 0 0 0 0 0 0 0 0 -16 -2 -14 8 -14 2 -17 1 3 -2 -17 -6 2 9 3 9 2 2 -19 -2 -14 1 1 15 -16 2 5 9 -1 -6 -7 9 -4 12 6 -6 -18 17 -15 9 -13 18 -6 1 -11 6 -9 -2 5 -4 -7 11 -4 -3 1 15 -1 17 -17 7 -4 9 -6 -8 6 -2 0 8 -14 -2 0 2 -5 12 5 15 -9 6 1 -6 -1 -2 -4 6 -7 -5 -4 0 -10 13 -9 9 -18 5 -15 10 -16 10 -17 3 -5 3 -15 -3 -10 1 12 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-42,11,1,6,1,1,1,1,0,0,0,-94,2,6,1,7935328,0,84,0,0,7.9353,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -24 -8 -17 4 -10 -4 -20 -2 -25 -10 -18 -17 -26 -7 -22 0 -13 0 -25 -10 -19 -16 -7 -10 -28 -13 -8 -4 -14 -14 -15 -11 -9 -17 -12 -4 -29 -20 -23 -6 -18 -6 -25 -14 -8 -6 -13 -13 -25 -3 -9 0 12 -12 -26 0 -10 -12 -12 -2 -6 -11 -19 -2 -3 0 -25 -17 -13 -10 -23 -3 -20 -6 -5 3 -12 -7 -17 8 -6 6 -24 -15 -9 -3 -21 3 -18 4 -18 -7 -27 8 -28 6 -14 -1 -11 10 -5 0 -26 4 -9 -12 5 -4 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-46,11,1,4,1,1,1,1,0,0,0,-94,3,6,1,8011420,0,84,0,0,8.0114,384,[84 -64 4 0 0 0 0 0 0 0 0 0 16 -11 22 -11 22 -16 22 -19 6 -2 17 -12 14 -10 15 -16 13 -6 7 -2 24 -2 23 -11 24 3 2 -3 2 -3 14 -11 4 0 5 -12 24 -5 20 -19 1 -1 5 -12 18 -17 6 -17 15 -18 22 -7 11 10 15 -6 19 3 0 -6 3 -11 3 -8 2 -9 4 -10 13 -12 13 -6 22 -3 7 -1 8 -18 12 -11 14 0 5 1 5 -1 19 -14 1 -2 18 -15 8 -11 1 -1 8 -5 10 -20 11 -21 16 -1 4 -21 7 -7 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-40,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,8095717,0,37,0,0,8.0957,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -6 24 -6 17 -6 25 12 15 9 24 8 7 0 8 4 27 -9 23 -2 20 3 18 2 16 2 6 -12 14 4 15 -10 8 -7 19 4 27 -11 26 11 19 10 3 -2 3 -11 6 10 19 9 13 -9 21 2 -9 -2 13 1 17 1 10 -7 9 1 26 12 9 -2 20 5 17 -7 21 5 18 -4 22 10 12 -2 17 -7 12 9 25 -5 9 -3 4 -9 25 7 15 10 15 8 17 5 8 15 13 4 24 -5 14 7 6 -7 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-40,11,1,5,1,1,1,0,0,0,0,-95,0,6,1,8162724,0,84,0,0,8.1627,384,[84 -64 4 0 0 0 0 0 0 0 0 0 36 -26 20 -36 27 -30 39 -36 33 -30 32 -12 33 -32 42 -29 23 -15 32 -18 35 -10 26 -23 43 -18 22 -19 44 -8 43 -20 27 -5 32 -25 29 -16 21 -17 24 -5 39 -14 29 -17 42 -19 37 -20 23 -17 -10 9 18 -8 28 -24 25 -11 26 -10 38 -6 33 -24 33 -20 19 -10 15 -11 14 -26 13 -23 16 -17 34 -11 32 -24 20 -28 14 -22 19 -26 11 -32 11 -34 9 -27 31 -14 24 -34 35 -36 20 -25 19 -27 24 -23 4 -9 0 0 0 0 0 0 0 0 ]
