type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,68:FE:71:12:53:8C,-39,11,1,4,1,1,1,0,0,0,0,-95,0,6,1,6546418,0,84,0,0,6.5464,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -16 -7 -17 -7 -17 -5 -17 -6 -17 -9 -15 -7 -15 -9 -17 -8 -13 -11 -15 -9 -16 -12 -15 -9 -17 -12 -16 -10 -13 -11 -16 -10 -14 -8 -11 -12 -13 -11 -15 -11 -15 -9 -13 -8 -12 -10 -13 -8 -14 -7 -11 -11 -2 0 -13 -6 -15 -10 -10 -6 -15 -6 -11 -10 -12 -8 -14 -9 -14 -7 -14 -7 -14 -5 -11 -5 -11 -4 -15 -5 -14 -4 -15 -6 -12 -7 -16 -5 -14 -6 -12 -7 -13 -6 -13 -6 -15 -5 -16 -1 -14 -4 -14 -1 -16 -1 -1 -2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-43,11,1,6,1,1,1,0,0,0,0,-94,0,6,1,6636347,0,82,0,0,6.6363,384,[84 -64 4 0 0 0 0 0 0 0 0 0 3 19 1 17 1 20 1 18 -3 18 0 21 -2 18 0 20 -4 19 -5 17 -5 17 -5 20 -5 18 -4 16 -2 17 -4 19 -5 17 -5 17 -6 15 -6 15 -2 15 -6 16 -3 16 -3 18 -5 16 -5 16 -1 1 -1 17 -3 14 -4 14 -4 13 -3 15 -1 16 -4 13 1 16 -1 15 -2 16 -2 14 0 14 0 16 2 16 3 12 0 16 0 17 1 13 0 12 0 16 0 13 0 14 5 14 2 16 4 13 2 16 0 -1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-40,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,6728631,0,84,0,0,6.7286,384,[84 -64 4 0 0 0 0 0 0 0 0 0 20 5 19 7 19 7 19 9 18 9 17 9 18 9 19 11 18 11 15 9 14 11 15 11 18 8 14 9 16 13 14 9 16 13 14 9 13 11 12 10 15 12 13 12 15 11 13 7 14 10 12 10 -1 0 16 6 14 6 16 9 12 9 12 6 15 8 12 6 12 7 13 5 14 7 13 6 16 7 13 4 14 5 14 7 17 6 17 2 18 4 17 5 13 4 17 3 17 6 14 2 17 1 14 3 17 5 1 -2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-39,11,1,4,1,1,1,0,0,0,0,-95,0,6,1,6819381,0,84,0,0,6.8194,384,[84 -64 4 0 0 0 0 0 0 0 0 0 19 15 16 13 14 17 13 15 15 15 14 18 11 18 15 14 13 15 12 17 10 18 9 17 13 18 12 19 11 17 11 18 10 14 9 16 10 15 11 18 8 18 7 14 10 17 9 13 10 13 8 12 0 2 6 14 7 15 7 12 11 12 8 11 7 12 10 15 8 13 13 14 9 14 10 11 9 11 13 11 10 12 10 11 13 12 15 14 11 12 13 9 11 13 15 8 12 13 13 11 14 13 12 12 14 12 -2 -1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-40,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,6934304,0,84,0,0,6.9343,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -16 -8 -18 -6 -18 -5 -19 -9 -17 -10 -17 -7 -19 -12 -18 -7 -16 -9 -15 -8 -15 -8 -17 -8 -19 -11 -16 -10 -16 -13 -17 -12 -16 -10 -14 -11 -17 -9 -14 -9 -13 -11 -13 -11 -13 -8 -12 -11 -14 -12 -12 -11 -1 -2 -12 -7 -13 -7 -14 -7 -12 -8 -11 -8 -15 -9 -15 -8 -13 -8 -12 -7 -15 -8 -16 -5 -12 -5 -12 -5 -14 -7 -16 -4 -13 -4 -16 -5 -14 -7 -12 -7 -15 -5 -15 -6 -15 -2 -17 -3 -14 -5 -17 -3 -17 -2 -1 1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-39,11,1,5,1,1,1,0,0,0,0,-96,0,6,1,7020265,0,84,0,0,7.0203,384,[84 -64 4 0 0 0 0 0 0 0 0 0 0 21 -1 20 1 19 2 18 1 18 -3 16 0 20 -3 19 -3 18 -3 20 -1 20 -1 18 -4 20 -3 17 -2 19 -6 18 -1 16 -3 14 -1 15 -5 15 -2 13 -1 14 -3 14 -2 16 -3 18 -3 17 0 -1 -2 14 -3 16 -2 15 -1 12 -2 16 0 16 -2 16 0 12 0 16 2 15 -2 15 2 16 -1 16 -1 14 -1 14 0 14 4 12 0 16 3 16 1 15 5 14 1 12 4 13 4 13 5 13 5 15 1 1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-38,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,7114890,0,84,0,0,7.1149,384,[84 -64 4 0 0 0 0 0 0 0 0 0 38 6 38 7 36 7 39 14 35 12 38 14 34 13 32 17 35 15 31 14 33 18 35 18 34 20 34 18 31 16 32 16 30 17 30 18 31 20 32 17 27 18 29 18 28 19 30 17 28 18 30 14 -2 1 29 14 30 16 28 13 29 10 30 12 28 12 28 11 30 13 30 9 27 6 29 12 30 11 30 12 30 8 32 10 28 6 31 9 31 6 30 6 31 1 29 5 29 2 32 3 31 5 32 5 31 3 -2 1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-41,11,1,4,1,1,1,0,0,0,0,-93,0,6,1,7183866,0,84,0,0,7.1839,384,[37 80 2 0 0 0 0 0 0 0 0 0 11 -30 14 -29 15 -31 15 -30 15 -28 15 -25 15 -28 17 -25 18 -25 19 -27 18 -23 16 -26 19 -25 17 -24 15 -20 18 -22 17 -21 16 -22 16 -21 17 -18 15 -21 16 -23 17 -18 14 -22 16 -20 14 -19 1 1 15 -22 14 -20 12 -24 10 -23 14 -19 11 -23 11 -23 13 -19 9 -23 13 -23 10 -25 8 -20 7 -21 12 -23 9 -23 11 -21 10 -25 6 -24 8 -25 10 -24 6 -22 7 -23 5 -25 6 -26 5 -21 4 -25 -2 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-38,11,1,5,1,1,1,0,0,0,0,-95,0,6,1,7292490,0,84,0,0,7.2925,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -6 16 -11 15 -12 14 -11 14 -12 17 -10 13 -13 11 -10 13 -12 15 -9 15 -12 11 -12 13 -13 14 -10 13 -13 13 -14 11 -14 11 -10 11 -11 9 -13 11 -12 8 -11 10 -11 7 -10 10 -12 9 -9 12 -1 2 -12 8 -10 8 -10 12 -8 11 -7 11 -9 13 -9 11 -7 12 -8 10 -8 12 -9 9 -10 10 -6 13 -7 13 -9 12 -7 11 -6 14 -6 10 -6 13 -5 11 -9 10 -9 15 -7 15 -6 12 -4 14 -4 14 -1 -2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-38,11,1,5,1,1,1,1,0,0,0,-95,1,6,1,7379354,0,82,0,0,7.3794,384,[84 -64 4 0 0 0 0 0 0 0 0 0 7 16 10 17 8 18 8 20 5 16 5 18 6 17 7 18 6 20 7 16 3 17 3 19 7 17 3 16 4 18 2 16 4 19 1 17 1 18 3 14 3 16 5 19 5 17 1 18 1 16 4 18 -2 -1 6 13 2 17 6 13 6 16 4 14 5 16 5 15 7 15 5 13 5 12 6 11 7 11 6 12 9 13 9 12 9 15 8 15 10 10 7 14 10 10 10 10 7 10 12 14 12 10 11 11 10 13 1 2 0 0 0 0 0 0 0 0 ]
