type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,68:FE:71:12:53:8C,-45,11,1,4,1,1,1,0,0,0,0,-94,0,6,1,7882188,0,84,0,0,7.8822,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -18 -4 -17 -9 -19 -6 -15 -9 -16 -9 -18 -9 -13 -8 -17 -11 -13 -9 -17 -10 -17 -8 -14 -12 -16 -9 -16 -10 -14 -9 -12 -9 -12 -11 -15 -11 -11 -8 -13 -10 -11 -12 -12 -10 -11 -11 -12 -11 -14 -11 -11 -11 2 2 -12 -10 -13 -7 -13 -7 -14 -5 -11 -9 -12 -8 -13 -5 -14 -8 -11 -8 -13 -7 -14 -4 -14 -8 -15 -4 -15 -5 -16 -5 -13 -3 -12 -6 -13 -4 -13 -4 -14 -3 -15 -3 -12 -5 -16 -2 -17 -3 -12 -3 -14 -5 -2 2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-46,11,1,5,1,1,1,1,0,0,0,-95,3,6,1,8007972,0,84,0,0,8.008,384,[84 -64 4 0 0 0 0 0 0 0 0 0 7 -13 8 -14 10 -15 9 -15 10 -17 9 -13 13 -12 10 -13 10 -15 13 -12 12 -13 13 -11 13 -12 14 -11 9 -10 13 -13 10 -9 9 -12 11 -13 11 -12 13 -12 13 -10 12 -11 11 -10 8 -11 12 -9 -2 0 8 -12 8 -11 8 -13 8 -9 8 -10 7 -9 6 -10 10 -13 6 -10 9 -12 7 -14 7 -12 9 -13 5 -13 6 -12 8 -14 6 -14 7 -11 5 -14 5 -11 6 -12 3 -13 7 -12 5 -13 4 -11 3 -13 0 -2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-46,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,8124858,0,37,0,0,8.1249,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -7 -29 -7 -30 -6 -29 -4 -28 -3 -26 -2 -28 -1 -28 -1 -28 1 -30 0 -26 -3 -30 0 -28 0 -27 2 -29 3 -28 2 -28 4 -26 3 -22 4 -27 3 -27 -1 -23 4 -23 -1 -21 1 -26 -1 -23 2 -26 2 0 0 -25 -1 -22 2 -24 -3 -22 0 -23 -3 -22 -4 -24 -1 -22 -4 -24 -3 -24 -1 -23 -2 -20 -6 -21 -2 -25 -2 -20 -4 -22 -5 -21 -8 -24 -7 -22 -6 -23 -7 -24 -5 -24 -6 -23 -6 -24 -6 -23 -7 -20 2 -2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-46,11,1,3,1,1,1,0,0,0,1,-94,0,6,1,8252409,0,84,0,0,8.2524,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -22 1 -20 -2 -23 -1 -23 -1 -23 -5 -21 -2 -22 -7 -22 -3 -20 -3 -21 -5 -21 -8 -21 -8 -22 -7 -21 -5 -19 -9 -20 -7 -18 -8 -16 -9 -18 -9 -20 -8 -20 -8 -19 -6 -17 -5 -19 -5 -17 -7 -18 -8 -1 -2 -19 -7 -17 -6 -18 -4 -18 -6 -15 -7 -18 -6 -18 -3 -15 -5 -18 -1 -15 0 -17 0 -19 0 -16 -3 -15 -1 -18 -1 -20 0 -19 -1 -19 1 -17 -2 -18 2 -19 -2 -15 -2 -17 0 -20 2 -18 -1 -19 -1 -2 2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-43,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,8374899,0,84,0,0,8.3749,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -20 -6 -16 -4 -18 -7 -19 -6 -18 -8 -16 -5 -15 -10 -18 -10 -18 -6 -17 -9 -18 -10 -14 -7 -16 -9 -15 -8 -17 -10 -16 -8 -12 -7 -15 -9 -15 -9 -13 -11 -14 -7 -14 -9 -13 -8 -12 -7 -13 -8 -16 -9 1 2 -11 -7 -13 -5 -12 -8 -16 -5 -14 -7 -15 -6 -14 -6 -15 -8 -16 -7 -16 -7 -16 -3 -14 -5 -15 -5 -14 -4 -17 -3 -13 -4 -13 -1 -17 -4 -13 -1 -13 0 -15 -1 -14 -4 -15 -4 -14 0 -16 0 -15 -2 -2 -1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-42,11,0,0,0,0,0,1,0,0,0,-95,3,6,1,8523149,0,37,0,0,8.5231,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -3 -21 -1 -21 -2 -21 2 -21 0 -22 3 -21 3 -18 2 -21 3 -20 3 -21 1 -21 5 -20 6 -19 5 -21 3 -21 5 -21 4 -17 3 -18 4 -19 6 -17 4 -15 2 -19 3 -14 4 -16 2 -18 4 -18 0 -2 2 -17 4 -16 3 -18 0 -14 1 -17 2 -17 3 -18 2 -15 1 -18 -2 -18 2 -14 -3 -14 -2 -14 1 -18 -2 -18 1 -17 0 -17 -1 -15 -4 -15 -3 -17 -2 -16 -2 -18 -5 -17 -3 -19 -3 -18 -5 -14 -1 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-40,11,1,4,1,1,1,0,0,0,0,-94,0,6,1,8645097,0,84,0,0,8.6451,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -9 -18 -9 -18 -8 -20 -8 -21 -7 -19 -7 -17 -6 -17 -2 -19 -3 -22 -3 -18 -5 -18 -1 -22 -5 -19 -1 -18 -3 -20 -1 -20 0 -17 -2 -16 -1 -17 -4 -16 -4 -18 -3 -16 -3 -16 0 -15 -3 -19 -4 -15 2 0 -2 -17 -2 -18 -2 -16 -4 -16 -5 -16 -2 -18 -5 -14 -2 -14 -4 -14 -6 -17 -5 -15 -5 -16 -6 -14 -6 -14 -8 -17 -9 -17 -6 -14 -9 -15 -7 -16 -7 -16 -6 -14 -8 -13 -9 -15 -9 -16 -7 -16 -10 -13 2 -1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-43,11,1,4,1,1,1,1,0,0,0,-96,2,6,1,8761563,0,84,0,0,8.7616,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -18 3 -16 3 -19 2 -18 2 -19 3 -19 2 -19 -1 -20 0 -19 0 -18 1 -20 -2 -21 1 -19 -1 -16 0 -20 -2 -21 0 -16 -3 -19 -2 -16 -1 -15 0 -17 -3 -19 -3 -15 -3 -17 -4 -17 -4 -15 -2 0 2 -18 1 -16 1 -15 -3 -14 1 -17 1 -13 0 -17 1 -16 2 -15 0 -14 -1 -15 0 -14 1 -15 3 -17 3 -17 4 -14 1 -16 4 -14 4 -15 5 -15 5 -14 5 -16 3 -13 2 -17 2 -16 2 -15 3 1 2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-42,11,1,4,1,1,1,0,0,0,0,-95,0,6,1,8883921,0,84,0,0,8.8839,384,[84 -64 4 0 0 0 0 0 0 0 0 0 3 21 3 16 3 19 4 19 0 21 -2 21 2 19 1 18 -2 20 -3 21 -3 18 -1 19 -3 21 -2 17 -1 15 0 20 -1 19 -2 16 -5 18 0 18 -4 19 0 17 -2 16 -2 15 0 16 0 15 0 0 0 13 -1 16 1 14 -2 15 -1 16 0 14 0 13 1 15 0 14 0 16 3 14 2 17 3 13 0 15 5 13 4 16 4 15 2 12 1 16 5 15 5 17 5 15 5 14 4 15 2 15 7 14 1 2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-40,11,1,5,1,1,1,0,0,0,0,-96,0,6,1,9024606,0,84,0,0,9.0246,384,[84 -64 4 0 0 0 0 0 0 0 0 0 3 -10 4 -9 1 -9 3 -7 3 -10 4 -9 3 -11 7 -10 3 -8 7 -9 6 -7 7 -9 4 -9 7 -6 3 -6 4 -8 5 -7 3 -8 7 -7 4 -7 7 -9 5 -9 5 -6 6 -6 3 -8 5 -6 0 2 4 -5 3 -9 6 -6 1 -7 3 -7 4 -7 5 -5 3 -9 2 -7 1 -5 2 -7 2 -8 2 -9 4 -8 3 -6 2 -8 0 -6 3 -7 0 -10 3 -10 2 -7 2 -9 1 -9 3 -10 0 -10 -1 -8 1 2 0 0 0 0 0 0 0 0 ]
