type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,68:FE:71:12:53:8C,-44,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,7228538,0,84,0,0,7.2285,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -13 -8 -13 -3 -15 -5 -20 -10 -20 -10 -19 -11 -15 -7 -18 -6 -16 -6 -15 -14 -16 -12 -16 -11 -13 -8 -16 -7 -10 -12 -11 -10 -18 -8 -16 -7 -16 -11 -17 -14 -12 -14 -16 -11 -8 -5 -13 -11 -16 -11 -14 -9 -4 -1 -14 -4 -14 -10 -8 -4 -16 -9 -12 -5 -16 -4 -17 -8 -11 -7 -11 -6 -13 -4 -16 -8 -16 -4 -11 -7 -16 -8 -17 -7 -10 -2 -13 -2 -17 -7 -13 -7 -10 -6 -10 -7 -10 -1 -10 -2 -13 -5 -14 -2 -12 -1 -2 4 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-43,11,1,4,1,1,1,0,0,0,0,-93,0,6,1,7369795,0,84,0,0,7.3698,384,[84 -64 4 0 0 0 0 0 0 0 0 0 21 6 19 1 19 10 21 9 17 7 16 8 17 11 19 9 16 11 21 6 13 5 17 4 16 10 19 5 19 6 16 8 17 13 10 6 17 6 13 5 14 11 18 9 13 4 13 4 18 11 11 11 4 4 15 5 15 3 15 11 11 2 12 9 11 6 12 4 10 1 16 5 13 3 16 4 15 7 14 6 13 1 10 5 12 2 13 4 13 5 16 5 12 0 12 -1 11 2 19 -3 18 0 14 -1 15 2 -4 3 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-45,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,7484637,0,84,0,0,7.4846,384,[84 -64 4 0 0 0 0 0 0 0 0 0 13 9 13 7 18 13 18 16 15 13 13 15 16 11 13 11 17 14 12 14 10 11 16 16 9 16 16 16 15 15 14 16 12 10 6 13 15 17 12 15 13 8 11 13 12 12 10 12 12 8 6 13 4 -4 10 8 11 12 15 9 11 7 14 14 7 11 14 10 14 10 12 12 9 4 12 5 9 5 9 7 15 4 11 5 17 10 9 11 15 9 12 10 13 7 12 2 13 5 17 9 15 9 12 8 18 10 4 4 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-41,11,1,6,1,1,1,1,0,0,0,-96,5,6,1,7623705,0,84,0,0,7.6237,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -5 19 -6 16 -3 22 -4 17 -7 16 0 14 -2 19 -2 20 -9 14 -2 19 -6 18 -6 20 -9 19 -8 16 -8 13 -6 17 -9 13 -10 16 -7 15 -5 13 -7 16 -7 19 -6 10 -5 12 -10 16 -3 11 0 -3 -6 16 -2 16 -6 11 -3 14 1 15 -7 13 -5 10 -1 10 -3 11 1 12 -1 17 1 13 -1 19 -4 15 1 15 -1 17 0 17 -3 18 -3 11 2 12 3 13 4 12 3 10 4 14 -1 13 6 11 -1 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-47,11,1,5,1,1,1,0,0,0,0,-95,0,6,1,7767201,0,84,0,0,7.7672,384,[84 -64 4 0 0 0 0 0 0 0 0 0 14 9 11 13 9 14 11 13 14 12 12 17 6 17 9 17 6 13 6 20 8 19 6 15 10 12 4 12 6 11 8 17 10 13 8 13 3 14 5 14 4 10 9 14 4 16 3 13 3 16 4 11 -1 -2 9 13 6 17 9 10 6 8 3 8 4 14 11 9 4 13 11 15 10 15 9 14 7 10 7 14 12 10 11 10 11 8 13 8 10 10 10 6 14 7 14 11 12 8 15 11 9 10 9 5 7 5 -4 -3 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-40,11,1,5,1,1,1,0,0,0,1,-93,0,6,1,7901985,0,84,0,0,7.902,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -23 -1 -18 -6 -20 -6 -22 -4 -20 -8 -18 -11 -17 -5 -20 -11 -20 -4 -16 -8 -21 -11 -17 -8 -13 -10 -17 -7 -19 -10 -20 -12 -20 -9 -18 -6 -14 -12 -17 -12 -16 -13 -16 -9 -12 -8 -14 -12 -11 -8 -12 -8 -4 -4 -16 -4 -18 -7 -16 -8 -14 -10 -17 -9 -19 -8 -17 -2 -17 -4 -14 -4 -18 -2 -20 -4 -19 -8 -12 -4 -17 -7 -17 -8 -18 -5 -13 -2 -12 -2 -18 0 -19 -2 -15 2 -16 2 -13 -3 -16 -1 -12 -1 -12 -4 4 -3 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-50,11,1,1,1,1,1,0,0,0,0,-93,0,6,1,8050549,0,84,0,0,8.0505,384,[84 -64 4 0 0 0 0 0 0 0 0 0 24 9 18 4 22 11 21 13 23 9 20 11 21 13 18 12 19 8 15 14 17 11 18 9 19 10 18 14 19 13 16 16 18 12 19 7 13 10 15 9 12 16 15 8 12 13 18 15 12 12 13 10 -4 -3 18 11 15 8 16 7 15 9 17 5 14 6 17 7 12 5 16 7 12 5 20 8 15 8 13 11 14 6 21 8 14 5 19 2 20 5 20 2 21 7 16 2 18 8 14 1 16 6 16 2 19 6 0 -4 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-45,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,8182348,0,84,0,0,8.1823,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 -22 1 -17 -7 -17 -5 -22 -4 -22 2 -18 -4 -23 -4 -15 1 -17 1 -15 2 -17 1 -16 -1 -20 2 -21 2 -19 3 -19 2 -16 -1 -17 5 -19 2 -19 2 -17 1 -14 5 -15 1 -12 1 -17 -2 -19 -2 -1 2 -19 4 -15 4 -15 4 -16 2 -17 0 -12 -1 -16 -4 -19 2 -15 3 -10 -4 -13 -4 -18 -2 -18 2 -19 1 -16 -6 -20 -1 -15 -7 -13 -5 -13 -2 -19 -5 -11 0 -11 -2 -15 -8 -19 -6 -10 -6 -11 -1 -4 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-46,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,8317663,0,84,0,0,8.3177,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -19 6 -23 4 -15 11 -24 8 -21 5 -21 3 -23 2 -20 9 -21 8 -21 2 -15 3 -17 2 -22 3 -19 6 -21 4 -22 5 -15 -1 -20 -2 -14 6 -20 1 -19 0 -17 2 -18 6 -16 3 -16 3 -14 7 -3 1 -19 6 -15 6 -18 3 -19 7 -16 0 -13 2 -17 7 -14 4 -16 4 -13 7 -11 8 -17 2 -15 1 -16 4 -10 6 -18 10 -18 5 -16 5 -13 4 -13 7 -11 5 -16 8 -14 10 -13 12 -13 4 -14 12 3 4 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-43,11,1,6,1,1,1,1,0,0,0,-93,1,6,1,8448311,0,84,0,0,8.4483,384,[84 -64 4 0 0 0 0 0 0 0 0 0 18 -14 11 -10 17 -17 13 -11 17 -14 12 -9 13 -12 18 -13 14 -6 18 -12 13 -12 13 -12 20 -5 16 -13 20 -9 16 -7 17 -7 13 -7 19 -12 12 -11 18 -7 12 -6 14 -6 16 -7 14 -4 13 -10 -1 -4 16 -8 13 -10 18 -3 16 -10 11 -8 13 -10 13 -9 15 -9 13 -9 17 -6 14 -8 16 -5 12 -9 14 -12 13 -12 12 -9 10 -14 8 -8 15 -9 9 -9 14 -15 10 -9 13 -13 12 -13 7 -12 10 -15 1 1 0 0 0 0 0 0 0 0 ]
