type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,68:FE:71:12:53:8C,-47,11,1,5,1,1,1,0,0,0,0,-95,0,6,1,7645068,0,84,0,0,7.6451,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -19 5 -27 0 -12 4 -29 -18 -22 -8 -14 -20 -8 0 -24 -8 -21 -6 -6 -16 -15 -13 -26 2 -24 -14 -19 -17 -7 2 -5 -20 -10 -20 -19 -3 -4 -20 -5 -18 -8 -17 -17 -12 -24 -3 -13 -13 -12 -7 -14 -2 0 6 -6 -4 -20 -3 -19 -8 -25 -2 -9 -18 -6 -14 -15 -10 -22 0 -3 5 -16 -14 -13 -5 -12 -9 -8 2 -2 -6 -5 -4 -11 5 -5 -3 -13 -3 -8 -14 -22 -4 -16 0 -24 3 -14 -15 -7 -15 -12 -12 -5 8 11 3 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-46,11,1,4,1,1,1,0,0,0,0,-94,0,6,1,7731950,0,84,0,0,7.732,384,[84 -64 4 0 0 0 0 0 0 0 0 0 1 25 -8 28 0 27 2 26 -17 26 2 14 2 28 -17 26 1 11 -10 20 -9 22 -9 18 0 6 -6 8 -2 7 -17 21 -11 9 -17 24 3 9 -18 12 0 22 -12 16 -2 5 -14 22 -7 21 -11 25 -3 12 -4 23 4 5 -15 3 -13 18 1 9 -2 21 5 21 7 26 -11 10 -8 15 -13 12 -4 3 9 4 -9 9 8 24 4 27 3 9 10 25 -8 5 -1 6 -4 5 -9 18 3 6 -2 14 11 8 -4 17 -4 -8 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-49,11,1,2,1,1,1,0,0,0,0,-94,0,6,1,7815894,0,84,0,0,7.8159,384,[84 -64 4 0 0 0 0 0 0 0 0 0 27 10 28 -4 26 3 23 1 16 17 25 -1 24 15 18 5 27 9 28 2 11 0 24 6 14 9 26 21 28 10 6 11 18 11 17 0 20 22 7 18 20 14 8 -1 16 8 17 9 12 -2 13 20 -11 -8 21 10 13 13 6 0 24 -2 4 11 20 2 5 11 24 11 11 9 12 12 14 4 18 9 15 13 11 17 26 0 24 -5 5 13 5 -2 5 1 15 -8 19 3 15 0 22 6 24 13 5 11 6 12 4 -4 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-48,11,1,3,1,1,1,0,0,0,0,-93,0,6,1,7876364,0,84,0,0,7.8764,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -16 -28 6 -20 4 -35 1 -35 -9 -31 -9 -42 -7 -22 5 -20 -7 -20 10 -25 11 -35 -4 -40 12 -21 10 -19 -3 -37 6 -18 -6 -34 4 -16 13 -34 2 -26 -6 -18 -2 -31 14 -11 11 -26 1 -14 -9 -25 10 8 -9 -30 5 -18 -8 -30 10 -16 8 -26 8 -19 10 -31 8 -25 -1 -24 8 -22 -6 -35 -6 -28 -11 -15 1 -33 1 -26 5 -26 -10 -17 1 -17 -8 -32 -4 -19 2 -16 1 -10 -14 -26 -4 -17 -8 -16 -2 -16 -6 -7 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-50,11,1,2,1,1,1,0,0,0,0,-95,0,6,1,7970271,0,82,0,0,7.9703,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -28 -17 -15 -18 -23 -14 -31 0 -7 -1 -24 -15 -13 -3 -12 4 -6 -8 -27 -17 -25 -17 -20 -17 -23 -7 -20 -4 -24 -15 -16 -5 -13 -17 -23 -20 -19 -20 -25 -5 -19 -5 -21 -20 -21 -20 -14 -10 -2 -12 -11 0 5 -11 -4 -14 -9 -8 -14 -13 -21 -7 -10 -16 -23 -17 -24 -8 -25 -10 -23 5 -19 0 -19 1 -14 -1 -16 8 -19 -16 -13 8 -27 -4 -11 -7 -10 -1 -9 3 -27 -10 -21 -13 -23 -8 -10 -13 -19 9 -26 10 -12 2 -5 -4 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-46,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,8080867,0,84,0,0,8.0809,384,[84 -64 4 0 0 0 0 0 0 0 0 0 0 -23 -1 -18 -12 -16 -5 -33 -12 -17 -4 -14 9 -25 8 -10 8 -31 -12 -18 -8 -13 -8 -11 -8 -21 3 -9 12 -14 -10 -28 11 -10 3 -25 -4 -8 -8 -22 -4 -26 2 -6 0 -21 -10 -21 -11 -9 -5 -9 1 -6 -11 -21 -5 -19 -12 -28 -13 -18 5 -16 2 -17 3 -20 0 -28 3 -11 9 -27 -15 -13 1 -7 -15 -27 -9 -5 -16 -4 7 -7 -7 -4 -7 -10 -5 -6 -12 -9 -8 -16 -11 -11 3 -17 -5 -17 -3 -5 5 -2 -6 3 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-50,11,1,3,1,1,1,0,0,0,0,-94,0,6,1,8146897,0,84,0,0,8.1469,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -25 2 -19 -3 -30 -2 -23 -17 -29 -14 -11 2 -24 -22 -16 -10 -16 1 -13 0 -9 -16 -19 -15 -7 -14 -20 -4 -6 -22 -25 -16 -18 -4 -10 -12 -11 -22 -14 -20 -8 -8 -3 -16 -22 -8 -8 -6 -4 -4 -1 -8 -9 5 -10 2 -3 -17 -15 -13 -4 -10 -12 -2 -21 -1 -16 -16 -15 -15 -13 -19 -10 3 -14 -14 -1 -10 -25 -8 -10 -9 -19 1 -18 4 -21 -17 -3 -6 -11 -17 -15 4 -25 -7 -4 -1 -18 -13 -17 -1 -4 -14 -10 -10 -1 9 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-46,11,1,3,1,1,1,1,0,0,0,-93,6,6,1,8259673,0,84,0,0,8.2597,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -22 -21 -12 -17 -24 -16 -17 -4 -14 -16 -22 -5 -4 -24 -20 -6 -14 -5 -2 -8 -12 -18 -8 -18 -18 -19 -20 -21 -12 -15 -22 -19 1 -27 -6 -16 -6 -5 -12 -26 -1 -19 -13 -17 -14 -7 -2 -8 -4 -13 0 -1 -2 3 -18 -18 -14 -1 -16 -23 3 -10 -18 -23 -13 -19 2 -9 -12 -9 -11 -6 0 -9 -13 -20 -20 -13 -11 -18 -21 3 -22 -13 -16 -17 -4 3 -12 -6 -22 -10 -17 -17 -15 -13 -11 -9 -24 -3 -8 1 -13 -5 -2 -10 12 2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-47,11,1,5,1,1,1,0,0,0,1,-93,0,6,1,8347846,0,84,0,0,8.3478,384,[84 -64 4 0 0 0 0 0 0 0 0 0 8 3 8 0 24 -5 28 -1 13 7 8 4 8 11 29 -3 11 5 17 18 12 12 17 19 13 4 25 7 20 3 19 18 5 3 22 9 28 -2 5 10 16 20 19 7 13 -3 7 12 7 20 3 2 9 11 14 13 19 3 8 -5 14 14 24 5 12 0 24 15 26 -3 10 -1 12 3 12 16 7 -1 20 5 18 -9 26 -9 6 -4 5 12 4 10 21 3 27 11 9 8 17 3 7 5 28 5 20 -10 3 6 -7 -6 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-49,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,8422910,0,37,0,0,8.4229,128,[84 -64 4 0 0 0 0 0 0 0 0 0 2 -23 -9 -23 -13 -27 -10 -11 2 -16 -4 -27 10 -26 -1 -9 -11 -23 7 -22 7 -25 2 -22 -9 -26 -7 -21 -7 -18 -2 -28 0 -9 5 -8 -1 -27 2 -18 -1 -15 -1 -7 -10 -23 12 -18 -10 -14 -1 -6 -5 -9 -11 -17 -2 -25 3 -18 9 -17 7 -8 5 -15 -7 -14 8 -12 -4 -8 3 -26 5 -17 -9 -21 -2 -11 -1 -14 -16 -20 -7 -5 8 -25 1 -20 -14 -5 -6 -27 0 -13 -3 -21 0 -7 -2 -20 4 -8 -5 -24 -8 3 0 0 0 0 0 0 0 0 ]
