type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,68:FE:71:12:53:8C,-40,11,1,6,1,1,1,0,0,0,1,-94,0,6,1,8717351,0,84,0,0,8.7174,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -16 -5 -17 -10 -20 -10 -15 -9 -20 -7 -15 -9 -17 -9 -17 -11 -14 -11 -17 -7 -13 -8 -15 -12 -12 -11 -13 -7 -17 -9 -17 -10 -11 -9 -13 -9 -14 -10 -15 -11 -10 -11 -11 -8 -12 -10 -13 -8 -13 -7 -12 -6 2 3 -13 -8 -12 -11 -15 -7 -14 -4 -13 -6 -12 -10 -12 -7 -16 -8 -13 -8 -14 -9 -16 -6 -12 -7 -13 -2 -12 -5 -16 -2 -13 -8 -11 -4 -14 -4 -15 -2 -11 -1 -15 -5 -16 -6 -15 -6 -17 -6 -15 -4 -13 -3 3 -1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-42,11,1,6,1,1,1,0,0,0,0,-95,0,6,1,8843564,0,84,0,0,8.8436,384,[84 -64 4 0 0 0 0 0 0 0 0 0 13 -13 8 -13 7 -11 11 -17 8 -15 10 -15 10 -10 9 -15 14 -15 13 -9 16 -12 16 -13 13 -14 15 -12 11 -8 15 -7 9 -8 15 -13 14 -11 12 -12 10 -9 15 -12 14 -6 8 -11 11 -6 8 -8 3 2 12 -9 11 -7 11 -11 13 -12 7 -10 12 -11 8 -11 7 -13 8 -7 5 -8 9 -11 6 -12 8 -11 9 -14 4 -8 7 -12 4 -10 5 -12 7 -12 8 -9 7 -15 7 -11 8 -14 9 -10 7 -14 7 -11 -2 -2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-45,11,1,4,1,1,1,0,0,0,0,-93,0,6,1,8960807,0,84,0,0,8.9608,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -3 -27 0 -28 -2 -30 2 -29 3 -30 4 -29 3 -29 6 -26 5 -25 7 -24 7 -28 7 -29 7 -28 6 -26 8 -24 3 -23 8 -23 6 -26 8 -28 3 -26 5 -22 10 -25 3 -22 8 -24 6 -24 5 -26 -2 -2 4 -21 5 -22 6 -22 3 -20 5 -23 1 -26 5 -20 0 -22 4 -25 -1 -20 4 -22 -1 -20 0 -20 4 -20 -2 -20 -1 -23 1 -20 0 -25 1 -27 1 -23 -2 -25 -2 -24 -1 -24 -4 -25 -1 -25 -7 -26 3 2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-47,11,1,4,1,1,1,0,0,0,0,-95,0,6,1,9103920,0,84,0,0,9.1039,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -21 -6 -22 -10 -24 -7 -19 -8 -18 -11 -20 -12 -17 -13 -17 -13 -16 -11 -18 -13 -15 -11 -19 -11 -15 -12 -19 -11 -18 -10 -14 -10 -19 -11 -16 -11 -13 -13 -13 -11 -15 -12 -14 -13 -18 -9 -12 -11 -12 -10 -18 -14 -2 -3 -18 -11 -14 -10 -15 -9 -18 -9 -15 -7 -13 -8 -13 -10 -15 -9 -14 -9 -15 -6 -14 -10 -17 -4 -17 -7 -15 -7 -16 -4 -19 -3 -17 -9 -18 -7 -17 -6 -15 -6 -16 -6 -13 -6 -15 -1 -20 -4 -14 -7 -16 -3 -3 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-44,11,1,3,1,1,1,0,0,0,0,-94,0,6,1,9207597,0,84,0,0,9.2076,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 -8 -14 -13 -14 -14 -18 -11 -14 -14 -11 -13 -13 -12 -13 -15 -12 -14 -16 -18 -13 -17 -13 -17 -9 -12 -12 -12 -8 -12 -11 -17 -11 -16 -12 -11 -12 -16 -11 -14 -11 -15 -11 -16 -12 -16 -10 -16 -9 -16 -10 -12 1 1 -8 -9 -13 -10 -12 -15 -14 -12 -12 -12 -10 -12 -7 -13 -11 -10 -8 -10 -9 -12 -10 -9 -10 -11 -9 -11 -15 -6 -12 -7 -13 -11 -12 -7 -16 -9 -15 -5 -15 -6 -12 -11 -16 -4 -11 -7 -12 -5 -11 -8 -16 -6 2 2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-44,11,1,5,1,1,1,0,0,0,0,-95,0,6,1,9354141,0,84,0,0,9.3541,384,[84 -64 4 0 0 0 0 0 0 0 0 0 7 -20 7 -16 8 -17 5 -17 7 -20 12 -17 11 -19 9 -20 8 -14 10 -18 13 -15 10 -14 11 -13 14 -18 8 -18 13 -14 14 -13 8 -12 13 -16 8 -14 8 -12 9 -15 10 -12 13 -13 11 -12 11 -13 -1 3 7 -11 12 -12 10 -17 7 -16 10 -14 10 -17 9 -15 8 -17 8 -17 3 -13 5 -12 6 -17 3 -16 7 -12 8 -16 7 -14 8 -18 2 -17 3 -17 2 -16 3 -16 7 -13 3 -16 6 -16 4 -19 0 -13 -1 2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-43,11,1,6,1,1,1,0,0,0,0,-94,0,6,1,9494822,0,84,0,0,9.4948,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 -19 2 -20 0 -22 4 -21 5 -18 2 -18 3 -19 8 -18 5 -18 8 -19 6 -22 9 -16 3 -16 4 -18 5 -15 7 -21 7 -20 7 -14 7 -16 3 -16 8 -15 4 -19 8 -19 3 -19 3 -15 8 -17 0 2 7 -18 7 -14 4 -14 2 -18 5 -15 4 -17 5 -14 1 -19 5 -16 -2 -17 3 -14 -1 -16 4 -15 1 -14 3 -19 1 -20 -3 -16 2 -17 0 -18 0 -16 2 -16 -4 -15 -5 -18 -2 -17 -1 -20 -1 -16 1 3 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-46,11,1,5,1,1,1,0,0,0,0,-93,0,6,1,9611669,0,84,0,0,9.6117,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -20 -5 -19 -1 -21 -7 -20 -7 -20 -4 -15 -9 -20 -10 -14 -8 -15 -5 -17 -6 -14 -11 -17 -10 -16 -11 -16 -12 -17 -8 -16 -9 -15 -12 -17 -6 -17 -7 -14 -11 -12 -12 -15 -8 -12 -8 -11 -7 -16 -8 -17 -7 -3 0 -15 -5 -12 -6 -13 -6 -11 -5 -13 -4 -11 -5 -15 -6 -17 -10 -15 -7 -13 -4 -15 -7 -13 -5 -15 -9 -16 -7 -11 -8 -16 -2 -16 -2 -14 -6 -13 -1 -16 -6 -16 -7 -16 -2 -16 -3 -16 -1 -14 -1 -14 -1 3 -3 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-45,11,1,5,1,1,1,0,0,0,0,-95,0,6,1,9742081,0,84,0,0,9.7421,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -7 20 -2 21 -8 18 -5 16 -8 21 -11 18 -11 18 -8 16 -11 17 -8 17 -12 17 -7 19 -7 19 -11 14 -12 16 -13 13 -10 14 -11 17 -7 11 -10 14 -8 12 -10 15 -9 15 -7 11 -8 14 -10 11 -2 -1 -9 11 -7 16 -5 15 -7 11 -5 15 -3 12 -9 14 -8 13 -8 14 -4 11 -4 13 -2 14 -1 16 -1 14 -2 16 -7 16 -7 16 -2 17 -6 12 1 17 -3 17 -6 15 -3 18 -5 16 -4 14 -2 13 -2 3 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-45,11,1,3,1,1,1,0,0,0,0,-94,0,6,1,9850507,0,84,0,0,9.8505,384,[84 -64 4 0 0 0 0 0 0 0 0 0 6 -10 9 -9 5 -5 10 -9 4 -7 6 -10 6 -5 9 -7 10 -4 6 -7 9 -3 10 -5 9 -4 6 -6 9 -8 9 -5 4 -7 4 -7 6 -3 7 -4 8 -6 6 -3 9 -7 6 -5 4 -4 9 -2 3 0 4 -8 6 -5 6 -7 5 -7 7 -8 4 -3 6 -4 5 -2 7 -6 2 -9 2 -8 5 -6 8 -6 6 -4 8 -6 4 -9 8 -5 2 -6 4 -7 1 -4 4 -10 6 -4 6 -9 5 -9 1 -6 5 -4 -2 2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-44,11,1,3,1,1,1,0,0,0,0,-96,0,6,1,9988110,0,84,0,0,9.9881,384,[84 -64 4 0 0 0 0 0 0 0 0 0 11 -17 14 -18 15 -16 13 -16 15 -16 15 -13 14 -11 16 -15 14 -13 13 -10 16 -10 16 -16 16 -15 17 -9 12 -15 16 -14 18 -11 13 -9 11 -14 17 -13 15 -10 16 -12 10 -10 11 -11 16 -8 14 -9 3 2 11 -10 11 -12 14 -10 9 -8 14 -12 9 -11 13 -12 14 -13 10 -11 10 -9 9 -10 11 -16 7 -14 7 -14 8 -11 10 -16 12 -13 10 -15 6 -12 11 -15 5 -14 6 -13 5 -13 5 -11 6 -15 5 -12 1 2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-43,11,1,4,1,1,1,0,0,0,0,-93,0,6,1,10118214,0,84,0,0,10.118,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -18 6 -20 6 -19 9 -19 7 -19 4 -19 4 -18 3 -19 4 -21 1 -19 2 -22 5 -20 1 -21 4 -22 1 -16 -1 -22 3 -21 4 -21 3 -21 4 -15 2 -20 0 -16 1 -20 3 -20 4 -19 2 -17 0 1 2 -18 2 -19 4 -19 0 -19 5 -13 4 -18 2 -14 3 -16 0 -19 2 -16 3 -15 5 -15 6 -18 6 -16 9 -11 10 -11 10 -13 8 -16 7 -11 4 -11 10 -16 7 -17 6 -16 10 -16 10 -12 10 -11 12 2 2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-42,11,1,6,1,1,1,0,0,0,0,-95,0,6,1,10248295,0,84,0,0,10.248,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 17 -3 20 2 21 -4 22 -1 17 -1 17 0 22 2 21 -5 19 -3 19 -4 18 -4 22 -6 19 -3 16 -5 17 -3 21 -1 21 -1 14 -6 15 -5 16 -1 18 -5 14 -6 16 0 18 -2 18 0 16 1 1 0 17 -3 18 -4 18 -1 15 -3 16 0 16 -4 15 1 14 -1 16 -3 14 0 16 4 18 3 12 2 15 -2 17 5 16 2 13 4 16 6 15 8 15 6 13 5 17 4 14 2 14 4 13 5 14 -3 1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-45,11,1,4,1,1,1,0,0,0,0,-93,0,6,1,10367034,0,84,0,0,10.367,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -38 -8 -44 -6 -46 -7 -40 -8 -43 -9 -41 -15 -39 -12 -37 -16 -35 -11 -40 -15 -39 -16 -35 -20 -39 -16 -36 -17 -37 -18 -38 -15 -33 -16 -31 -19 -35 -13 -37 -20 -34 -14 -32 -15 -30 -17 -32 -19 -35 -16 -29 -13 1 3 -34 -13 -31 -15 -30 -15 -35 -9 -34 -10 -30 -9 -32 -15 -30 -8 -28 -10 -34 -7 -33 -8 -29 -8 -34 -4 -30 -9 -34 -8 -35 -2 -32 -5 -37 1 -33 0 -35 1 -31 -1 -36 -6 -37 -6 -37 -2 -37 -3 -36 -3 -3 -1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-42,11,1,6,1,1,1,0,0,0,0,-94,0,6,1,10508533,0,84,0,0,10.509,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -19 -10 -21 -9 -22 -12 -18 -8 -19 -13 -14 -10 -16 -14 -18 -11 -14 -10 -14 -13 -17 -17 -18 -15 -18 -12 -18 -11 -15 -10 -18 -18 -15 -10 -13 -11 -11 -9 -12 -16 -12 -14 -15 -14 -9 -9 -13 -14 -14 -15 -13 -11 2 2 -14 -14 -13 -12 -14 -9 -14 -13 -12 -7 -12 -13 -17 -11 -13 -13 -17 -8 -13 -7 -18 -6 -16 -10 -17 -10 -13 -7 -18 -10 -14 -7 -16 -8 -16 -8 -15 -9 -18 -7 -17 -11 -18 -5 -16 -5 -16 -5 -14 -4 -18 -6 1 -1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-43,11,1,6,1,1,1,0,0,0,0,-95,0,6,1,10635586,0,84,0,0,10.636,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 17 -7 14 -13 15 -9 14 -10 16 -13 16 -10 13 -10 16 -11 12 -13 12 -13 15 -13 11 -16 16 -11 14 -13 16 -12 14 -11 14 -16 12 -15 11 -15 15 -16 15 -14 12 -10 15 -11 15 -14 14 -11 14 1 -3 -13 14 -11 14 -9 15 -12 15 -7 9 -12 14 -7 14 -12 13 -8 14 -8 14 -6 13 -10 15 -9 13 -6 14 -10 12 -4 12 -10 11 -5 11 -7 17 -9 12 -7 13 -7 15 -9 17 -5 19 -8 14 -3 17 0 -2 0 0 0 0 0 0 0 0 ]
