type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,68:FE:71:12:53:8C,-45,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,6687524,0,84,0,0,6.6875,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -16 -7 -15 -9 -19 -8 -18 -5 -18 -8 -15 -7 -15 -10 -17 -11 -14 -10 -14 -8 -17 -10 -16 -12 -15 -11 -17 -10 -16 -8 -15 -9 -12 -9 -12 -12 -13 -11 -14 -12 -15 -11 -13 -11 -10 -8 -12 -10 -12 -8 -15 -8 -1 -2 -12 -6 -14 -8 -13 -6 -11 -7 -12 -9 -11 -5 -11 -7 -11 -7 -14 -5 -11 -8 -12 -6 -14 -8 -13 -4 -12 -3 -13 -3 -13 -6 -16 -5 -12 -5 -16 -3 -16 -5 -15 -2 -12 -3 -16 -2 -13 -1 -15 -2 -16 -3 -2 1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-45,11,1,4,1,1,1,0,0,0,0,-93,0,6,1,6789052,0,84,0,0,6.7891,384,[84 -64 4 0 0 0 0 0 0 0 0 0 7 17 9 16 7 18 7 19 7 16 5 16 3 17 5 20 3 16 3 20 2 19 0 20 4 18 3 20 2 19 3 19 0 17 0 18 2 15 3 17 3 18 -2 17 2 13 3 14 2 17 3 15 1 -1 -1 14 2 13 3 15 4 16 1 17 0 14 1 13 1 13 2 14 2 14 2 14 3 15 5 15 5 13 4 14 5 12 4 15 3 14 7 14 6 12 5 13 7 13 6 11 9 12 8 14 4 15 1 1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-45,11,1,4,1,1,1,1,0,0,0,-94,4,6,1,6910587,0,84,0,0,6.9106,384,[84 -64 4 0 0 0 0 0 0 0 0 0 14 9 14 7 13 8 16 12 13 12 11 13 15 13 13 10 14 13 10 12 14 10 11 13 10 11 12 13 11 13 11 10 12 11 10 13 11 12 11 11 8 10 11 12 12 10 11 12 11 12 11 11 1 -2 8 8 10 12 11 11 12 9 9 9 8 7 10 8 8 10 8 8 10 8 12 9 12 8 11 9 12 8 11 8 12 5 12 4 12 4 12 4 13 5 11 5 14 6 12 5 15 2 15 4 14 2 -1 -1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-41,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,6996745,0,84,0,0,6.9967,384,[84 -64 4 0 0 0 0 0 0 0 0 0 12 -16 11 -15 13 -16 14 -18 14 -14 17 -16 14 -14 15 -16 19 -12 14 -13 18 -15 19 -12 19 -13 18 -14 16 -14 19 -12 15 -11 17 -8 18 -10 14 -11 16 -8 17 -8 17 -9 15 -12 15 -8 14 -9 1 2 16 -11 13 -9 15 -11 13 -10 14 -9 16 -12 15 -12 14 -11 15 -12 13 -11 10 -13 9 -13 14 -11 11 -14 11 -11 10 -12 9 -12 11 -12 8 -15 8 -12 11 -14 11 -14 8 -13 10 -13 9 -16 8 -13 0 1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-46,11,1,4,1,1,1,1,0,0,0,-96,6,6,1,7084226,0,84,0,0,7.0842,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -20 -4 -23 -7 -23 -9 -21 -8 -23 -7 -22 -8 -18 -11 -20 -8 -18 -8 -20 -8 -17 -13 -17 -13 -21 -12 -16 -10 -16 -8 -20 -8 -18 -9 -18 -8 -15 -11 -14 -11 -17 -8 -15 -12 -15 -11 -18 -8 -14 -11 -16 -8 -1 0 -18 -9 -18 -6 -17 -10 -16 -6 -14 -10 -16 -6 -18 -6 -17 -8 -14 -5 -17 -7 -15 -5 -14 -5 -14 -5 -16 -3 -16 -2 -16 -4 -18 -6 -16 -3 -19 -3 -17 -5 -19 -5 -16 -4 -17 0 -17 -3 -19 -3 -17 -4 1 -1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-44,11,1,3,1,1,1,0,0,0,0,-93,0,6,1,7163396,0,84,0,0,7.1634,384,[84 -64 4 0 0 0 0 0 0 0 0 0 31 -8 31 -7 31 -8 29 -4 33 -7 30 -6 28 -2 28 -4 29 -3 30 -1 31 0 32 -2 31 2 28 2 26 2 31 2 25 0 26 2 24 -1 28 0 23 -1 28 -2 25 1 26 -2 25 1 23 1 0 -2 26 -1 24 0 23 -4 24 -3 22 -4 22 -5 25 -4 24 -3 23 -5 25 -5 22 -6 20 -5 24 -8 24 -8 24 -7 22 -9 23 -10 22 -7 24 -10 23 -8 21 -7 19 -11 22 -8 20 -9 19 -11 19 -12 -2 1 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-50,11,1,3,1,1,1,0,0,0,1,-94,0,6,1,7288947,0,84,0,0,7.2889,384,[37 80 2 0 0 0 0 0 0 0 0 0 10 -27 12 -29 14 -31 14 -32 16 -28 16 -24 15 -25 19 -22 17 -26 19 -22 17 -23 16 -26 17 -23 17 -24 19 -22 19 -25 18 -22 16 -22 19 -19 15 -22 16 -20 18 -20 15 -21 18 -20 15 -22 16 -19 -2 1 14 -20 13 -22 11 -20 12 -24 12 -20 14 -22 10 -22 11 -20 12 -23 10 -23 12 -25 9 -19 9 -20 10 -24 11 -23 11 -24 9 -23 6 -22 6 -23 7 -23 10 -24 5 -22 8 -24 8 -23 7 -25 4 -24 2 -2 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-44,11,1,4,1,1,1,0,0,0,0,-95,0,6,1,7386615,0,84,0,0,7.3866,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -1 -22 -3 -18 1 -22 1 -23 1 -21 1 -21 -1 -17 1 -21 0 -22 0 -19 0 -18 2 -19 4 -22 0 -21 5 -20 2 -18 5 -17 1 -17 2 -16 3 -19 6 -19 4 -20 2 -19 3 -19 5 -19 2 -18 -2 -2 4 -19 2 -17 2 -15 1 -18 0 -14 0 -18 0 -18 2 -16 2 -14 -1 -17 -1 -14 1 -16 -1 -16 -1 -19 -2 -14 -4 -15 -1 -17 -2 -15 -2 -15 -4 -15 -2 -18 -5 -17 -3 -17 -4 -15 -6 -18 -5 -16 -2 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-47,11,1,5,1,1,1,0,0,0,0,-95,0,6,1,7484685,0,84,0,0,7.4847,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -15 13 -13 11 -14 11 -14 12 -15 9 -15 11 -19 7 -15 10 -19 7 -16 9 -17 7 -19 10 -15 7 -16 7 -19 5 -16 7 -19 6 -19 7 -14 6 -19 5 -15 8 -15 6 -14 4 -13 5 -16 8 -13 6 -2 -1 -13 4 -13 6 -15 8 -12 8 -15 7 -14 7 -16 8 -14 9 -13 5 -14 11 -13 8 -10 11 -11 9 -14 11 -11 9 -11 12 -14 9 -12 9 -12 12 -13 12 -12 8 -12 9 -9 10 -10 12 -8 10 -8 10 1 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,68:FE:71:12:53:8C,-39,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,7574422,0,84,0,0,7.5744,384,[84 -64 4 0 0 0 0 0 0 0 0 0 20 -6 17 -4 21 -5 22 -5 19 -4 20 -3 19 -5 18 -3 20 -3 18 -4 19 -1 20 -1 22 -2 18 -3 19 -3 17 -1 17 -2 19 0 19 1 18 -1 20 0 19 2 15 -1 15 2 16 -2 19 1 1 2 15 -2 16 -4 15 0 18 -4 14 -2 19 -4 18 -2 15 -3 18 -4 14 -6 15 -3 15 -6 15 -3 15 -5 14 -3 14 -3 14 -5 17 -4 16 -5 13 -6 16 -7 13 -9 15 -8 16 -5 16 -5 13 -9 -2 0 0 0 0 0 0 0 0 0 ]
